a cappella	86793,106285
aardvark	10547
abacus	13912,13913
abbreviation	1755,34063,37462,37464
abdomen	29744,29929,29935,29941
abdominal	29936,91150
abduction	182,1619,3906,3907,3946
abhor	101386
abhorrence	4868,25590,39688,39692,39695,39928
abiding	83873
ability	27291,27908,28138,30048,30237,30238,30266,30269,30276,30377,44525
ablaze	75459,76243,76656,83706
able	73763,75643,76845,79642
abode	17342,19771,20313,38506,45081,45262,45263,45340,45768
aboriginal	46941,47217,47743,78534,79758,88844
abortion	1080,1081,5164,7180,38679,38918
aboveground	88078
abrasion	1981,25534,39652,54125,63565,68227
abrasive	15320,70988,74282,86716
abrasiveness	25999,26855
abrupt	43390,77580,80360,80371,87045
abruptly	106633
abruptness	26688,27443,27488
abscess	45881,68355
abscessed	85915
absentmindedly	106667
absentmindedness	30681
absinthe	42321,56218
absolutist	47732,92472
abstain	98403,104780
abstinence	5418,5424,26512,26513,32067,38057
abstinent	47749,73812
abstractionism	13930,31843
absurd	34810,66357,81983,88667
absurdly	108374
abundance	27645,27680,27719,27720,27721,27722,27724,27741,27745,27746,27879,65770,65771
abundant	73829
abuse	2058,2066,3714,3723,3757,3881,4799,31620,35390,35395,35420,93585,93586,96682,105040
abuser	47752
abyss	45872,45905,45992,46404
academy	13935,43978,43991,44000,44006,44037,44644
acceleration	1611,27444,73630
accent	6428,15283,26872,35905,35912,37399,37411,37426,37428,37440,37567,37682,37686,37809,69061,97315,97459
accentuate	97315,97459
acceptability	26058,26060,26143
acceptance	307,823,21970,25321,25322,32849,37903,44782,63324,66379
accepted	73911,77359,77373,83161,87051,87068
accessory	1867,13943,13944,23192,31793,40099,42616,47759,47766,87416
accident	26670,32772,38583,38584,38653,38655,38656,38898,39227
acclimate	94541
acclimation	63570
acclimatization	63570
acclimatize	94541
accolade	35270,35504
accomplish	100733,105082
according	76630,77076
accordion	13948,14623,18694
accordionist	47767
accountant	3126,47768
accumulate	93349,104007
accuracy	25472,25486,26113,26114,26115,26117,26457,26488,26586,27380,27441,30357
accusation	6066,31070,35452,38220,38221,38228,38240
accusative	33408,79122,90686
accusatorial	91850
accusatory	79122
accuse	96672,96673
accused	47770,47771
accuser	47772
accusingly	106668
accustomed	73893,76728
acetaminophen	13957
acetone	69936
acetylene	69937
ache	39597,68417,101533,103127,103131
achieve	105082
achievement	70,75,100,119,4720
aching	68417,83612
achy	83612
acidic	73898,87493
acidity	25349,27104,27336,30762
acknowledge	34934,95550,96220,96562,96894,96895,97687
acknowledgeable	81079
acknowledged	73910,84805
acne	67858
acorn	57832
acoustic	13965,18771,30464,90727
acoustical	90727
acoustically	107159
acoustics	4484,32445
acquaintance	45,26842,30554,30968,31249,46958,47778,66367
acquit	96951,105048
acrid	4784,84145,87651
acrobat	47780,47781
acrobatics	1449,2129,2130
acrophobia	68781
across	108183,108184
acting	2726,3152,6033,83878
action	58,79,2875,2879,4826,5993,5994,5995,13977,25436,26273,33719,38191,42938,64045,66761,100733,105336
active	47783,65689,70855,73934,73949,73955,73968,73977,73984,73990,73992,73994,73996,74002,79143,82496,83333
activity	58,70,503,2006,2763,3641,25291,25294,25308,39628,63659,64045,66761,69556
actor	47785,47786,47788
actress	47785,47788
acupressure	3588
acupuncture	3587,3588
ad	14200,38297,38304,106286
adage	6035,37785,37794,37799
adamant	71184,79683
adamantly	107484
adaptor	13983,16364
addicted	74025
addiction	332,3850,39593,67048
addictive	74031
address	2039,19771,26305,27558,30382,33637,35724,35757,37364,37415,38245,38246,38258,38269,45004,45005,45008,94875,96916,97341,97348,97349,97551,98183,98226,103734,105440
adequateness	25703,26059
adherence	6093,6140,26483,26784
adhesive	21369,70442,74055
adhesiveness	26784
adjacent	76468,76482,77161
adjournment	1000,3705,5164,5407,5408,5409,38900
adjudicate	96021,104969
adjudication	4411,6035,6040
adjustable	75860,79696
administer	93032,103954,104031,104633
admiral	11676,11677,47802
admiration	6168,27990,35242,35265,39676,39728,39730
admired	82164
admissible	83910
admit	96562,103676,104719,104974,105758,106077,106126,106147
admittedly	107536
admonishment	35382,35385
adopted	79743,81831
adorable	82152
adorableness	25551,25560
adorably	108128
adore	101403
adoringly	106599
adorn	100911,104431,106165
adornment	1228,1232,1239,13997,19177,25514,31793
adrenal	28802,88878,88879
adrenalin	29217
adrenaline	29217
advance	1225,1336,1784,1798,5682,6007,27375,37845,38876,39356,44847,63291,74994,78535,93345,93804,95029,95370,96812,97958,102471,102478,102480,103904,104480,105212
adventurer	46880,49549
adverb	33446,33465,33474
adversity	38655,38768,38954,69267
advert	38100,38297,38304,97507,97518,103368
advertise	97283,97287
advertisement	19723,38297,38304
advertiser	47816
advertising	4025,5571,19723,38280,38297
advertize	97283,97287
advice	4489,28691,31302,34948,35025,35139
advisability	27945
advisable	74149
advise	35139,96802,96804,96811
advised	74154,81256
advisedly	106641
advisement	31098
adviser	47818
advisor	47818
advisory	35532,81245
advocacy	136,6146
advocate	47819,47820,96608,96810
advocator	47819
aerial	2791,14189,77498,81685,81686
aerobics	3162
aerodynamic	86712,91434
aeronautic	88903
aerosol can	14005,24661
aesthetic	31980,32707,74163,87622,91508
aesthetically	108098
aesthetics	32707
afar	106899
affectation	3830,26038
affected	74171,74183,82753
affectedness	3830,26034,26038
affecting	82757
affection	533,4305,6221,39563,39661,39917,39924
affectionate	82180
affirmable	84267
affirmation	6011,35024,35208,35444,35447,35461,38047,38143
affirmer	48042
affix	33388,33393,33858,98968,99130,99276
affront	6205,6206,26687,96695
afghan	10575,14007,22709,36835,47283,91595
aflame	76656,83706
aflutter	39325,79093
aforementioned	85641
